concept_A,concept_B,n_people
Dizziness and giddiness,Malignant neoplasm of connective and soft tissue of abdomen,1
Dizziness and giddiness,Malignant neoplasm of connective and soft tissue of pelvis,1
Dizziness and giddiness,Neonatal candidiasis,1
Dizziness and giddiness,Neoplasm of uncertain behavior of skin,1
Dizziness and giddiness,Neoplasm of uncertain behavior of soft tissues,1
Dizziness and giddiness,Neurogenic bladder,1
Dizziness and giddiness,Neutropenia associated with infectious disease,1
Dizziness and giddiness,Nocturia,1
Adjustment disorder,Pleural effusion due to malignant neoplastic disease,1
Adjustment disorder,Pleurisy,1
Adjustment disorder,Pleuritic pain,1
Adjustment disorder,Pneumonia,1
Adjustment disorder,Pneumothorax,1
Adjustment disorder,Neoplasm of uncertain behavior of soft tissues,1
Adjustment disorder,Neoplastic disease,1
Adjustment disorder,Neuralgia,1
Adjustment disorder,Neurogenic bladder,1
Adjustment disorder,Neutropenia,1
Dizziness and giddiness,Primary malignant neoplasm of retroperitoneum,1
Dizziness and giddiness,Primary malignant neoplasm of skin,1
Dizziness and giddiness,Primary malignant neoplasm of soft tissues,1
Dizziness and giddiness,Primary malignant neoplasm of the peritoneum,1
Dizziness and giddiness,Overactive bladder,1
Dizziness and giddiness,Overlapping malignant neoplasm of retroperitoneum and peritoneum,1
Dizziness and giddiness,Overlapping malignant neoplasm of soft tissues,1
Dizziness and giddiness,Pain,1
Dizziness and giddiness,Pain due to internal prosthetic device,1
Dizziness and giddiness,Pain in thoracic spine,1
Dizziness and giddiness,Paralytic ileus,1
Dizziness and giddiness,Pericardial effusion - noninflammatory,1
Dizziness and giddiness,Peritonitis,1
Dizziness and giddiness,Persistent pain following procedure,1
Dizziness and giddiness,Pleural effusion due to malignant neoplastic disease,1
Dizziness and giddiness,Pleurisy,1
Dizziness and giddiness,Pulmonary embolism,1
Dizziness and giddiness,Pyonephrosis,1
Dizziness and giddiness,Radiation-induced disorder,1
Dizziness and giddiness,Right lower quadrant pain,1
Dizziness and giddiness,Right upper quadrant pain,1
Dizziness and giddiness,Secondary hypertension,1
Dizziness and giddiness,Secondary malignant neoplasm of cerebral meninges,1
Dizziness and giddiness,Secondary malignant neoplasm of intra-abdominal lymph nodes,1
Dizziness and giddiness,Secondary malignant neoplasm of intrapelvic lymph nodes,1
Dizziness and giddiness,Pneumothorax,1
Dizziness and giddiness,Postgastric surgery syndrome,1
Dizziness and giddiness,Postoperative state,1
Dizziness and giddiness,Primary focal hyperhidrosis,1
Dizziness and giddiness,Primary malignant neoplasm of bone,1
Dizziness and giddiness,Primary malignant neoplasm of pelvic bone,1
Dizziness and giddiness,Primary malignant neoplasm of pelvis,1
Adjustment disorder,Malignant neoplasm of abdomen,1
Adjustment disorder,Malignant neoplasm of connective and soft tissue of abdomen,1
Adjustment disorder,Malignant neoplasm of connective and soft tissue of pelvis,1
Adjustment disorder,Malignant neoplasm of connective and soft tissue of thorax,1
Adjustment disorder,Malignant neoplastic disease,1
Adjustment disorder,Mediastinal emphysema,1
Adjustment disorder,Melena,1
Adjustment disorder,Mild protein-calorie malnutrition (weight for age 75-89 percent of standard),1
Adjustment disorder,Moderate protein-calorie malnutrition (weight for age 60-74 percent of standard),1
Adjustment disorder,Muscle weakness,1
Dizziness and giddiness,Sepsis,1
Dizziness and giddiness,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),1
Dizziness and giddiness,Shoulder joint pain,1
Dizziness and giddiness,Primary malignant neoplasm of trunk,1
Dizziness and giddiness,Primary thrombocytopenia,1
Dizziness and giddiness,Puerperal pyrexia of unknown origin,1
Dizziness and giddiness,Urgent desire to urinate,1
Dizziness and giddiness,Verruca plantaris,1
Dizziness and giddiness,Visual disturbance,1
Dizziness and giddiness,Vomiting,1
Dizziness and giddiness,Secondary malignant neoplasm of left lung,1
Dizziness and giddiness,Secondary malignant neoplasm of lymph node,1
Dizziness and giddiness,Secondary malignant neoplasm of lymph nodes of multiple sites,1
Dizziness and giddiness,Secondary malignant neoplasm of lymph nodes of upper limb,1
Dizziness and giddiness,Secondary malignant neoplasm of right lung,1
Dizziness and giddiness,Secondary malignant neoplasm of skin,1
Adjustment disorder,Nonulcer dyspepsia,1
Adjustment disorder,Open wound of trunk,1
Adjustment disorder,Overactive bladder,1
Adjustment disorder,Overlapping malignant neoplasm of retroperitoneum and peritoneum,1
Adjustment disorder,Overlapping malignant neoplasm of soft tissues,1
Adjustment disorder,Malignant melanoma of skin,1
Drug-induced constipation,Embolism from thrombosis of vein of lower extremity,1
Drug-induced constipation,Epigastric pain,1
Drug-induced constipation,Erectile dysfunction,1
Drug-induced constipation,Eruption,1
Drug-induced constipation,Essential thrombocythemia,1
Drug-induced constipation,"Ewing sarcoma of connective, Subcutaneous and other soft tissues, NOS",1
Drug-induced constipation,Exocrine pancreatic insufficiency,1
Dizziness and giddiness,Sleep disorder,1
Dizziness and giddiness,Solitary nodule of lung,1
Dizziness and giddiness,Spinal stenosis of lumbar region,1
Dizziness and giddiness,Stool finding,1
Dizziness and giddiness,Tachypnea,1
Dizziness and giddiness,Testicular hypofunction,1
Dizziness and giddiness,Tremor,1
Dizziness and giddiness,Upper abdominal pain,1
Dizziness and giddiness,Urge incontinence of urine,1
Adjustment disorder,Left lower quadrant pain,1
Adjustment disorder,Localized edema,1
Adjustment disorder,Localized enlarged lymph nodes,1
Adjustment disorder,"Localized swelling, mass and lump, lower limb",1
Adjustment disorder,Long QT syndrome,1
Adjustment disorder,Loss of appetite,1
Drug-induced constipation,Hiccoughs,1
Drug-induced constipation,Hydronephrosis,1
Drug-induced constipation,Hydroureter,1
Drug-induced constipation,Hyperpituitarism,1
Drug-induced constipation,Hyperprolactinemia,1
Drug-induced constipation,Drug-induced hyperpyrexia,1
Drug-induced constipation,Dysuria,1
Drug-induced constipation,Edema,1
Drug-induced constipation,Elevated level of transaminase and lactic acid dehydrogenase,1
Drug-induced constipation,Embolism from thrombosis of vein of distal lower extremity,1
Drug-induced constipation,Intestinal adhesions with obstruction,1
Drug-induced constipation,Intestinal obstruction,1
Drug-induced constipation,Finding of frequency of urination,1
Drug-induced constipation,Finding related to pregnancy,1
Drug-induced constipation,Functional disorder of intestine,1
Drug-induced constipation,Gastrointestinal hemorrhage,1
Drug-induced constipation,Generalized abdominal pain,1
Drug-induced constipation,Generalized enlarged lymph nodes,1
Drug-induced constipation,Hemorrhage of rectum and anus,1
Adjustment disorder,Myopia,1
Adjustment disorder,Neonatal candidiasis,1
Adjustment disorder,Neoplasm of uncertain behavior of skin,1
Adjustment disorder,Intestinal adhesions with obstruction,1
Adjustment disorder,"Intra-abdominal and pelvic swelling, mass and lump",1
Adjustment disorder,Iron deficiency anemia,1
Adjustment disorder,Jaw pain,1
Drug-induced constipation,Lower abdominal pain,1
Drug-induced constipation,Lymphedema,1
Drug-induced constipation,Malignant ascites,1
Drug-induced constipation,Malignant melanoma of skin,1
Drug-induced constipation,Malignant neoplasm of abdomen,1
Drug-induced constipation,Malignant neoplasm of connective and soft tissue of abdomen,1
Drug-induced constipation,Hypervolemia,1
Drug-induced constipation,Hypocalcemia,1
Drug-induced constipation,Hypomagnesemia,1
Drug-induced constipation,Hypothyroidism,1
Drug-induced constipation,Hypoxemia,1
Drug-induced constipation,Immunodeficiency disorder,1
Drug-induced constipation,Impacted cerumen,1
Drug-induced constipation,Incomplete emptying of bladder,1
Drug-induced constipation,Inflammatory dermatosis,1
Drug-induced constipation,Injury of bladder,1
Drug-induced constipation,Melena,1
Drug-induced constipation,Muscle weakness,1
Drug-induced constipation,Myopia,1
Drug-induced constipation,Nausea,1
Drug-induced constipation,Neonatal candidiasis,1
Drug-induced constipation,Neoplasm of uncertain behavior of skin,1
Drug-induced constipation,Neoplasm of uncertain behavior of soft tissues,1
Drug-induced constipation,Iron deficiency anemia,1
Drug-induced constipation,Jaw pain,1
Drug-induced constipation,Left lower quadrant pain,1
Drug-induced constipation,Localized edema,1
Drug-induced constipation,Localized enlarged lymph nodes,1
Drug-induced constipation,"Localized swelling, mass and lump, lower limb",1
Drug-induced constipation,Long QT syndrome,1
Drug-induced constipation,Loss of appetite,1
Drug-induced constipation,Low blood pressure,1
Adjustment disorder,Hyperpituitarism,1
Adjustment disorder,Hyperprolactinemia,1
Adjustment disorder,Hypo-osmolality and or hyponatremia,1
Adjustment disorder,Hypocalcemia,1
Adjustment disorder,Hypomagnesemia,1
Adjustment disorder,Hypothyroidism,1
Adjustment disorder,Illness,1
Adjustment disorder,Immunodeficiency disorder,1
Drug-induced constipation,Overlapping malignant neoplasm of retroperitoneum and peritoneum,1
Drug-induced constipation,Overlapping malignant neoplasm of soft tissues,1
Drug-induced constipation,Pain,1
Drug-induced constipation,Pain due to internal prosthetic device,1
Drug-induced constipation,Malignant neoplasm of connective and soft tissue of pelvis,1
Drug-induced constipation,Malignant neoplasm of connective and soft tissue of thorax,1
Drug-induced constipation,Malignant neoplastic disease,1
Drug-induced constipation,Mediastinal emphysema,1
Drug-induced constipation,Postgastric surgery syndrome,1
Drug-induced constipation,Postoperative state,1
Drug-induced constipation,Neurogenic bladder,1
Drug-induced constipation,Neutropenia associated with infectious disease,1
Drug-induced constipation,Nocturia,1
Drug-induced constipation,Nocturnal enuresis,1
Drug-induced constipation,Non-infectious disorder of lymphatics,1
Drug-induced constipation,Nonulcer dyspepsia,1
Drug-induced constipation,Open wound of trunk,1
Drug-induced constipation,Overactive bladder,1
Adjustment disorder,Low blood pressure,1
Adjustment disorder,Lower abdominal pain,1
Adjustment disorder,Lymphedema,1
Adjustment disorder,Malaise,1
Adjustment disorder,Malignant ascites,1
Adjustment disorder,Hydroureter,1
Drug-induced constipation,Primary malignant neoplasm of soft tissues,1
Drug-induced constipation,Primary malignant neoplasm of the peritoneum,1
Drug-induced constipation,Primary malignant neoplasm of trunk,1
Drug-induced constipation,Primary thrombocytopenia,1
Drug-induced constipation,Puerperal pyrexia of unknown origin,1
Drug-induced constipation,Pulmonary embolism,1
Drug-induced constipation,Pyonephrosis,1
Drug-induced constipation,Radiation-induced disorder,1
Drug-induced constipation,Pain in thoracic spine,1
Drug-induced constipation,Paralytic ileus,1
Drug-induced constipation,Pericardial effusion - noninflammatory,1
Drug-induced constipation,Peritonitis,1
Drug-induced constipation,Persistent pain following procedure,1
Drug-induced constipation,Pleural effusion due to malignant neoplastic disease,1
Drug-induced constipation,Pleurisy,1
Drug-induced constipation,Pneumothorax,1
Adjustment disorder,Finding of frequency of urination,1
Adjustment disorder,Finding related to pregnancy,1
Adjustment disorder,Finding relating to psychosocial functioning,1
Adjustment disorder,Gastroesophageal reflux disease without esophagitis,1
Adjustment disorder,Gastrointestinal hemorrhage,1
Adjustment disorder,Generalized abdominal pain,1
Drug-induced constipation,Secondary malignant neoplasm of left lung,1
Drug-induced constipation,Secondary malignant neoplasm of lymph node,1
Drug-induced constipation,Secondary malignant neoplasm of lymph nodes of multiple sites,1
Drug-induced constipation,Secondary malignant neoplasm of lymph nodes of upper limb,1
Drug-induced constipation,Primary focal hyperhidrosis,1
Drug-induced constipation,Primary malignant neoplasm of bone,1
Drug-induced constipation,Primary malignant neoplasm of pelvic bone,1
Drug-induced constipation,Primary malignant neoplasm of pelvis,1
Drug-induced constipation,Primary malignant neoplasm of retroperitoneum,1
Drug-induced constipation,Primary malignant neoplasm of skin,1
Drug-induced constipation,Solitary nodule of lung,1
Drug-induced constipation,Spinal stenosis of lumbar region,1
Drug-induced constipation,Stool finding,1
Drug-induced constipation,Right lower quadrant pain,1
Drug-induced constipation,Right upper quadrant pain,1
Drug-induced constipation,Secondary hypertension,1
Drug-induced constipation,Secondary malignant neoplasm of cerebral meninges,1
Drug-induced constipation,Secondary malignant neoplasm of intra-abdominal lymph nodes,1
Drug-induced constipation,Secondary malignant neoplasm of intrapelvic lymph nodes,1
Adjustment disorder,Impacted cerumen,1
Adjustment disorder,Incomplete emptying of bladder,1
Adjustment disorder,Inflammatory disorder of digestive tract,1
Adjustment disorder,Injury of bladder,1
Adjustment disorder,"Ewing sarcoma of connective, Subcutaneous and other soft tissues, NOS",1
Adjustment disorder,Exocrine pancreatic insufficiency,1
Adjustment disorder,Fatigue,1
Drug-induced constipation,Urgent desire to urinate,1
Drug-induced constipation,Verruca plantaris,1
Drug-induced constipation,Visual disturbance,1
Drug-induced constipation,Vomiting,1
Drug-induced hyperpyrexia,Dyspnea,1
Drug-induced hyperpyrexia,Dysuria,1
Drug-induced hyperpyrexia,Edema,1
Drug-induced hyperpyrexia,Electrocardiogram abnormal,1
Drug-induced hyperpyrexia,Elevated level of transaminase and lactic acid dehydrogenase,1
Drug-induced hyperpyrexia,Embolism from thrombosis of vein of distal lower extremity,1
Drug-induced constipation,Secondary malignant neoplasm of right lung,1
